servicio,cod_empresa,empresa,centro_poblado,numero_pqrs,latitude,longitude
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,LOS GARZONES,13,8.82600422963,-75.8434804814
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MENCHIQUEJO,13,9.19007780535,-74.0419939014
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,BAYUNCA,13,10.535519912,-75.3958615024
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SAN PELAYO,13,8.95800878711,-75.8351254915
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,RETIRO DE LOS INDIOS,12,8.85612091124,-75.8164424125
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,PASACABALLOS,12,10.2835858517,-75.5159130059
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,PUERTO LIBERTADOR,12,7.88883325281,-75.6718011007
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,USIACURI,11,10.742979811,-74.9769840969
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SANTA LUCIA,11,10.3243082813,-74.9592075848
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SAN BENITO ABAD,11,8.92996976102,-75.0311600711
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MOMIL,11,9.24071061295,-75.6779588318
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,RIOFRIO,11,10.905109805,-74.1726262402
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,CHOCHO,11,9.24770622625,-75.3423229236
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MARIA LA BAJA,11,9.98264680271,-75.3007611748
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,CAMPO DE LA CRUZ,11,10.3782957218,-74.8808535392
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,LA APARTADA,10,8.04990063857,-75.3357616802
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,AGUAS BLANCAS,10,10.2239353262,-73.4914721058
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,EL SABANAL,10,8.77868918019,-75.806648938
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,TOLU VIEJO,10,9.45183874964,-75.4408214257
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SAN ANTERO,10,9.37621656532,-75.7607741431
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SAN PEDRO,10,9.39596570901,-75.0634845353
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,CHIMICHAGUA,9,9.2582722175,-73.8133298841
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,EL CERRITO,9,8.71581477382,-75.7873551712
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SAN BERNARDO DEL VIENTO,9,9.35228972856,-75.9547986436
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,PALOMINO,9,11.2441469982,-73.5588663105
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,TURBANA,9,10.2744001934,-75.4425018865
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,VALENCIA,9,8.25501643828,-76.150720786
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,LA UNION,8,8.85397531911,-75.2760559341
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SALAMINA,8,10.4912293928,-74.7941894058
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SABANAS DE RINCON,8,9.74580296272,-75.6258908171
